 LONGITUD
 
               h                    Trapezis               Simpson
  
   2.1162500000000001E-002   6.2811987079447407E-002   5.3591921842375850E-002
   1.0581250000000000E-002   4.3978358565570058E-002   3.7717150586173309E-002
   5.2906250000000002E-003   3.0922287511015431E-002   2.6586932018059617E-002
   2.6453125000000001E-003   2.1780983523864622E-002   1.8750550386710071E-002
   1.3226562500000000E-003   1.5348864155830338E-002   1.3221492558381356E-002
   6.6132812500000002E-004   1.0811838476061000E-002   9.3161647747002224E-003
   3.3066406250000001E-004   7.6076152877498915E-003   6.5562090835420694E-003
   1.6533203125000001E-004   5.3432779011773346E-003   4.6051669642153681E-003
   8.2666015625000003E-005   3.7426408814425771E-003   3.2257634000934232E-003
   4.1333007812500001E-005   2.6109932323588603E-003   2.2504455412269142E-003
   2.0666503906250001E-005   1.8108588869064357E-003   1.5608156303179854E-003
   1.0333251953125000E-005   1.2451001650230498E-003   1.0731821162910105E-003
   5.1666259765625002E-006   8.4505600791820457E-004   7.2837614744650225E-004
   2.5833129882812501E-006   5.6218478393668669E-004   4.8456256783871443E-004
   1.2916564941406250E-006   3.6216558218410411E-004   3.1216070682779651E-004
   6.4582824707031252E-007   2.2073098728464524E-004   1.9025431421562655E-004
   3.2291412353515626E-007   1.2072174600713526E-004   1.0405352413922486E-004
   1.6145706176757813E-007   5.0004575691403597E-005   4.3100377481730678E-005
   8.0728530883789065E-008   0.0000000000000000        0.0000000000000000     
