 MASSA en funcio de t
 
               h                    Trapezis               Simpson
  
  0.78539816339744828        3.6862760020818754        1.9029303066201990     
  0.39269908169872414       0.87827264506748293        5.7728473888751353E-002
  0.19634954084936207       0.21718236763887688        3.1810581220952372E-003
   9.8174770424681035E-002   5.4150801865915810E-002   1.9305334319597023E-004
   4.9087385212340517E-002   1.3528716293848220E-002   1.1978848291960276E-005
   2.4543692606170259E-002   3.3816185360464601E-003   7.4733466703946760E-007
   1.2271846303085129E-002   8.4536957876935048E-004   4.6691781108165742E-008
   6.1359231515425647E-003   2.1134016659374311E-004   2.9222988473520672E-009
   3.0679615757712823E-003   5.2834864952444605E-005   1.8696511006055516E-010
   1.5339807878856412E-003   1.3208667787978357E-005   1.6115109247039072E-011
   7.6699039394282058E-004   3.3021265224419949E-006   5.3503868002735544E-012
   3.8349519697141029E-004   8.2549174607038367E-007   4.4266812437854242E-012
   1.9174759848570515E-004   2.0633310526818605E-007   4.5972115003678482E-012
   9.5873799242852573E-005   5.1543601387038507E-008   4.4124703890702222E-012
   4.7936899621426287E-005   1.2846236074892659E-008   4.4408920985006262E-012
   2.3968449810713143E-005   3.1711167025605391E-009   3.5242919693700969E-012
   1.1984224905356572E-005   7.5488060247153044E-010   2.8705926524708048E-012
   5.9921124526782858E-006   1.5037926459626760E-010   2.8279600883251987E-012
   2.9960562263391429E-006   0.0000000000000000        0.0000000000000000     
