          h                    Ttrap (phi=0)             Tsimpson (phi=0)        Ttrap (phi=PI-0,1)       Tsimpson (phi=PI-0,1)               Ttrap (phi=PI-0,001)       Tsimpson (phi=PI-0,001)
 
0.392699081698724139E+00  0.300956023365886871E+01  0.334395581517652030E+01  0.510513698006467198E+01  0.586221484715345831E+01  0.512601299156207890E+01  0.588887057381629475E+01
0.196349540849362070E+00  0.351115360593534698E+01  0.367835139669417277E+01  0.706079195088002987E+01  0.771267694115181435E+01  0.715160649302260243E+01  0.782680432684277871E+01
0.981747704246810349E-01  0.376195029207358544E+01  0.384554918745299856E+01  0.871142881233449629E+01  0.926164109948598480E+01  0.904871009131625392E+01  0.968107795741413923E+01
0.490873852123405174E-01  0.388734863514270534E+01  0.392914808283241124E+01  0.988768598197038351E+01  0.102797717051823447E+02  0.108822560259209098E+02  0.114934380041224582E+02
0.245436926061702587E-01  0.395004780667726552E+01  0.397094753052211802E+01  0.105421691974826004E+02  0.107603302693200096E+02  0.126839017740244255E+02  0.132844503567255980E+02
0.122718463030851294E-01  0.398139739244454516E+01  0.399184725436697141E+01  0.108714656396375418E+02  0.109812311203558544E+02  0.144683933393662443E+02  0.150632238611468505E+02
0.613592315154256468E-02  0.399707218532818498E+01  0.400229711628939810E+01  0.110361162955975178E+02  0.110909998475841700E+02  0.162393389351689237E+02  0.168296541337698180E+02
0.306796157577128234E-02  0.400490958177000511E+01  0.400752204725061123E+01  0.111184416235822745E+02  0.111458833995771993E+02  0.179840251940969829E+02  0.185655872804063264E+02
0.153398078788564117E-02  0.400882827999091518E+01  0.401013451273121824E+01  0.111596042875746537E+02  0.111733251755721081E+02  0.196439943020010688E+02  0.201973173379690856E+02
0.766990393942820585E-03  0.401078762910136977E+01  0.401144074547152130E+01  0.111801856195708282E+02  0.111870460635695590E+02  0.210501490253975234E+02  0.215188672665296536E+02
0.383495196971410292E-03  0.401176730365659751E+01  0.401209386184167283E+01  0.111904762855689306E+02  0.111939065075682986E+02  0.219790872887100583E+02  0.222887333764809092E+02
0.191747598485705146E-03  0.401225714093421182E+01  0.401242042002674904E+01  0.111956216185679871E+02  0.111973367295676525E+02  0.224685589706676119E+02  0.226317161979867656E+02
0.958737992428525731E-04  0.401250205957301809E+01  0.401258369911928714E+01  0.111981942850674852E+02  0.111990518405673427E+02  0.227135999585504251E+02  0.227952802878447329E+02
0.479368996214262866E-04  0.401262451889242211E+01  0.401266533866555619E+01  0.111994806183172333E+02  0.111999093960672269E+02  0.228361205127098472E+02  0.228769606974296167E+02
0.239684498107131433E-04  0.401268574855212368E+01  0.401270615843869027E+01  0.112001237849421784E+02  0.112003381738170535E+02  0.228973807897644193E+02  0.229178008821159516E+02
0.119842249053565716E-04  0.401271636338197446E+01  0.401272656832525776E+01  0.112004453682545186E+02  0.112005525626920690E+02  0.229280109283221805E+02  0.229382209745080949E+02
0.599211245267828582E-05  0.401273167079689941E+01  0.401273677326854106E+01  0.112006061599107305E+02  0.112006597571295554E+02  0.229433259976271273E+02  0.229484310207287940E+02
0.299605622633914291E-05  0.401273932450436188E+01  0.401274187574018271E+01  0.112006865557390007E+02  0.112007133543483004E+02  0.229509835322154778E+02  0.229535360437448155E+02
0.149802811316957146E-05  0.401274315135809356E+01  0.401274442697600353E+01  0.112007267536528197E+02  0.112007401529576249E+02  0.229548122995327368E+02  0.229560885553044649E+02
