 MASSA
 
               h                    Trapezis               Simpson
  
   2.3866666666666665E-002  0.29474376272325553       0.15868969365124597     
   1.1933333333333332E-002  0.11149847990252182        5.0416720479841137E-002
   5.9666666666666661E-003   4.0626950911826443E-002   1.7003109432491836E-002
   2.9833333333333331E-003   1.4569516895754031E-002   5.8837070746267095E-003
   1.4916666666666665E-003   5.1867923435442442E-003   2.0592190103712049E-003
   7.4583333333333327E-004   1.8400557702105136E-003   7.2447842999823209E-004
   3.7291666666666663E-004   6.5165575288106403E-004   2.5552393133354556E-004
   1.8645833333333332E-004   2.3058736812542335E-004   9.0232757437913591E-005
   9.3229166666666658E-005   8.1557567231715922E-005   3.1882484498479968E-005
   4.6614583333333329E-005   2.8839392272494990E-005   1.1268184851642715E-005
   2.3307291666666665E-005   1.0195723945560786E-005   3.9826853999169742E-006
   1.1653645833333332E-005   3.6033119579226280E-006   1.4073588541219095E-006
   5.8268229166666661E-006   1.2723868341169009E-006   4.9692936410217214E-007
   2.9134114583333331E-006   4.4825286815708409E-007   1.7505910943071967E-007
   1.4567057291666665E-006   1.5687262888697262E-007   6.1263447204140675E-008
   7.2835286458333327E-007   5.3853303150219745E-008   2.1031124619597108E-008
   3.6417643229166663E-007   1.7430392018624730E-008   6.8069485603672319E-009
   1.8208821614583332E-007   4.5528494307944811E-009   1.7779562266895255E-009
   9.1044108072916658E-008   0.0000000000000000        0.0000000000000000     
